# redshift DM
0.022023 65.328191
0.037380 75.892234
0.046482 306.495741
0.052008 134.159071
0.054730 95.285964
0.069993 192.556171
0.072116 35.684093
0.075524 225.191216
0.078842 166.311181
0.084037 35.055186
0.090274 133.097606
0.094865 199.539500
0.101545 117.066018
0.101677 47.434824
0.102759 29.034517
0.103248 66.632704
0.108384 96.626575
0.108670 360.044137
0.111364 202.150962
0.112765 363.009487
0.121855 222.842736
0.121986 239.842115
0.122001 349.808828
0.124596 167.093174
0.124733 101.475739
0.127539 246.807998
0.132757 302.289250
0.132812 75.101730
0.133706 47.538582
0.134454 149.524806
0.136702 233.590269
0.138691 231.875828
0.139197 273.317644
0.144075 370.335295
0.144642 67.287083
0.145844 113.231455
0.146199 37.590924
0.146733 467.503585
0.151281 179.384949
0.153604 50.561783
0.155198 258.328763
0.156026 247.854470
0.157078 133.706125
0.157374 257.984073
0.157448 57.204720
0.157808 97.628584
0.159246 171.424851
0.159792 57.201666
0.161301 379.479442
0.161321 359.385773
0.161951 169.313286
0.162037 362.870812
0.163140 143.156579
0.164329 134.240273
0.165989 172.376627
0.166291 150.618457
0.166316 139.660809
0.166692 305.381184
0.167661 185.516710
0.168373 254.817000
0.172695 298.694116
0.175600 223.086816
0.180605 60.893216
0.180875 13.923673
0.180909 199.282514
0.181786 160.674264
0.184011 194.952482
0.184277 182.422544
0.187408 508.520514
0.190071 24.797914
0.190333 278.127343
0.191125 232.945193
0.192744 146.214416
0.196643 236.857460
0.197178 271.004896
0.198424 360.263594
0.199124 10.564452
0.199441 130.237882
0.200904 255.629694
0.200972 298.689056
0.201292 478.111710
0.201398 322.483572
0.202030 195.718806
0.202292 90.991389
0.202490 132.262966
0.203416 129.585241
0.204601 288.256272
0.205915 239.401110
0.206675 40.321478
0.206727 152.641747
0.206743 318.772560
0.207885 253.502125
0.208095 281.206492
0.209075 258.755680
0.211304 419.114392
0.214539 246.003143
0.216191 168.419640
0.219047 103.531155
0.219620 253.197693
0.219865 246.815061
0.221330 199.429903
0.222942 198.320819
0.223705 50.294530
0.224704 107.260297
0.224856 330.842701
0.224897 256.454023
0.225213 240.213384
0.225333 266.651554
0.226343 240.233151
0.227915 390.185510
0.228219 246.195188
0.228396 42.396584
0.230235 442.980180
0.230590 280.626771
0.231122 157.149557
0.232671 72.694625
0.232951 286.520478
0.234204 221.381443
0.238348 445.733835
0.240293 197.903461
0.240908 134.444175
0.242732 362.541865
0.243622 367.423742
0.244312 269.275545
0.246023 337.605450
0.247234 245.363331
0.248166 281.972339
0.249092 405.240562
0.250105 335.517236
0.254406 235.555476
0.254564 436.451121
0.256836 263.113135
0.257277 532.243880
0.259597 37.379045
0.260003 180.704542
0.261425 259.884888
0.261465 245.920008
0.262403 399.986042
0.262504 125.980268
0.262779 301.385368
0.264661 191.821312
0.265985 309.453975
0.266608 262.177672
0.268306 285.010368
0.268375 199.300599
0.268963 205.210598
0.269024 311.725760
0.269402 399.809643
0.270010 194.476947
0.270450 158.759824
0.270673 357.137432
0.271186 271.319443
0.272041 387.730028
0.272149 155.446818
0.272746 39.025957
0.273413 206.614997
0.275016 176.918530
0.276148 270.359042
0.277576 196.839538
0.277695 382.219075
0.278583 244.758724
0.280275 305.603559
0.281843 308.263635
0.281968 313.434057
0.282275 284.202148
0.283665 357.920655
0.284140 181.910243
0.284755 479.324701
0.285027 258.398254
0.287103 114.926636
0.288794 319.916082
0.288853 178.998142
0.288917 384.797701
0.289429 594.966239
0.290299 189.183361
0.290662 341.549446
0.290940 58.153920
0.291052 358.494422
0.291873 177.249222
0.292326 213.176601
0.292982 148.988751
0.294253 399.972072
0.295186 438.553021
0.298042 307.469479
0.298984 187.082275
0.299583 523.366719
0.301649 205.309580
0.302218 12.371427
0.303453 372.953344
0.303487 158.506740
0.304957 447.468361
0.307032 261.449417
0.307448 397.420974
0.307813 507.662513
0.307877 148.364812
0.310597 239.629660
0.311516 308.242578
0.312968 532.743156
0.313098 229.383253
0.313823 238.945013
0.314039 387.528300
0.314109 241.622909
0.314507 342.998704
0.315877 108.462187
0.317626 632.344488
0.320423 140.935573
0.320459 283.560577
0.320720 324.043413
0.320935 594.715275
0.322462 146.022286
0.323677 608.094293
0.324185 437.804592
0.325896 392.319170
0.326300 197.109390
0.326520 414.522786
0.329089 236.352521
0.329524 515.242326
0.330289 202.893588
0.330947 323.696360
0.331195 262.024782
0.332155 202.407937
0.333856 446.725600
0.334100 418.106206
0.334217 512.803209
0.335217 94.069768
0.335592 494.096297
0.336427 697.759702
0.336511 282.016915
0.338262 614.266556
0.338595 310.711078
0.339065 154.923646
0.340414 306.632147
0.340802 498.016449
0.341610 232.716814
0.342398 267.088350
0.342633 435.962046
0.343642 353.644262
0.344129 436.402653
0.344529 387.806454
0.347681 425.557631
0.347868 296.478297
0.347947 390.709638
0.348371 226.784405
0.350298 543.374021
0.350571 270.587203
0.351092 521.655456
0.351466 328.446199
0.352024 390.975675
0.352569 292.433419
0.353540 219.267588
0.353970 115.921658
0.354089 214.204851
0.354402 318.685114
0.354419 395.016461
0.355093 509.544376
0.356013 302.998218
0.356498 241.281046
0.356826 161.603398
0.357158 436.303818
0.357360 565.430222
0.359038 550.775046
0.359303 471.575756
0.361159 463.496411
0.361676 615.697707
0.362884 421.562282
0.363742 467.539356
0.364824 330.062457
0.365303 181.133367
0.365688 278.851978
0.365932 375.966212
0.365947 386.025179
0.369798 658.757773
0.370502 393.932400
0.372070 553.883346
0.372121 321.251185
0.372411 339.347853
0.374238 194.381966
0.374630 279.486810
0.374699 462.884597
0.375106 388.305233
0.375429 523.819687
0.376841 415.309746
0.376972 338.251709
0.377676 700.900385
0.377772 376.510835
0.378956 559.839428
0.379537 333.878900
0.381444 497.034990
0.383017 530.571413
0.384503 427.711455
0.386138 56.504759
0.386706 402.447774
0.386778 579.024797
0.387275 477.234660
0.387669 465.788604
0.387808 150.054635
0.390475 298.727355
0.392031 465.672405
0.392178 465.695919
0.392330 583.399583
0.393697 386.192003
0.394187 467.290086
0.396584 412.917688
0.396712 266.019850
0.397766 80.987576
0.397985 475.257322
0.398319 437.921928
0.398905 322.317189
0.400982 177.351258
0.401470 508.402334
0.402480 377.811229
0.402550 498.922460
0.403112 691.924030
0.403229 102.590496
0.405886 317.498326
0.407130 391.095738
0.407215 636.729897
0.407389 180.799489
0.407515 708.085373
0.410039 445.233382
0.410138 411.069916
0.410272 396.126754
0.411785 362.498243
0.412495 582.990054
0.412587 269.734811
0.413580 480.178223
0.413736 372.260446
0.414306 316.845010
0.415099 814.117744
0.416899 494.832648
0.418642 525.661964
0.418643 603.611578
0.421382 225.919406
0.421606 698.647011
0.421895 64.451673
0.421934 323.629303
0.422898 370.764923
0.423186 526.173339
0.423220 472.111412
0.423497 414.951057
0.424520 439.142591
0.424855 295.389438
0.426372 219.375452
0.426393 551.464046
0.426847 547.089752
0.427203 680.586838
0.427284 325.909964
0.427534 547.749031
0.427679 401.979332
0.428117 622.816080
0.428688 598.302920
0.429813 478.312306
0.431698 397.897216
0.432103 593.204147
0.432178 546.232842
0.433601 348.182891
0.436000 254.014331
0.437424 411.638219
0.437929 683.461855
0.438945 629.196050
0.439452 289.801971
0.441727 283.703479
0.442527 652.814332
0.443958 290.753797
0.444790 539.970748
0.446049 371.341262
0.448156 711.416112
0.448964 351.001481
0.449532 641.390417
0.449588 496.305326
0.450013 506.976208
0.451362 171.561562
0.452423 137.251070
0.452925 438.493273
0.453214 509.748012
0.453548 301.848245
0.454230 308.069233
0.455048 559.585456
0.455354 560.145276
0.455781 454.150889
0.455864 593.765144
0.456383 297.215001
0.457951 423.293389
0.459347 729.973375
0.460585 490.757902
0.461204 500.281960
0.461599 833.128041
0.462701 269.116100
0.464556 606.362304
0.465327 739.854950
0.465466 436.035744
0.465782 617.453516
0.467216 337.356265
0.467592 382.924922
0.469233 548.785995
0.469904 612.923174
0.470007 662.446541
0.470105 731.327948
0.471004 481.416509
0.471755 675.681645
0.472659 441.035417
0.472874 632.277878
0.473345 526.181456
0.473847 563.322876
0.474010 560.103409
0.474623 249.159861
0.475410 323.788199
0.476914 514.013374
0.477524 239.226989
0.478377 627.829479
0.479040 634.818907
0.479049 550.973897
0.479461 328.295036
0.479564 713.796932
0.479812 815.354371
0.480829 525.208412
0.481084 581.541271
0.481454 534.333659
0.481513 585.089890
0.481927 485.289173
0.482543 499.076815
0.483843 645.726144
0.484100 868.456257
0.484622 290.354526
0.486006 492.156740
0.488153 327.804783
0.489991 759.317786
0.490077 421.586112
0.491683 290.564542
0.492013 613.821598
0.492990 786.658846
0.493135 619.059688
0.493799 548.572306
0.494290 580.863849
0.495384 738.431107
0.497189 384.467006
0.497383 503.297153
0.497474 450.353580
0.498457 340.040743
0.498651 470.959514
0.499283 695.342146
0.500356 612.279964
0.501005 625.140670
0.502201 548.847549
0.503763 609.428702
0.504008 402.949520
0.504441 480.107072
0.504551 558.571173
0.506178 573.756181
0.506181 580.432047
0.506549 509.138388
0.507207 472.451114
0.507296 1025.627997
0.507744 673.987863
0.508134 597.181557
0.508242 496.129808
0.508730 462.522416
0.509248 513.253948
0.509955 580.395064
0.510854 240.749161
0.511467 290.098959
0.512183 437.065558
0.512383 569.681918
0.512752 500.048789
0.513303 770.195478
0.513577 305.798015
0.515916 422.981225
0.516146 780.269052
0.516260 562.062843
0.517522 682.029488
0.521282 870.286697
0.521363 437.703470
0.521407 531.457310
0.522609 505.466198
0.522842 240.360668
0.523369 500.294152
0.523725 688.711673
0.523895 635.173076
0.524058 647.750264
0.524319 491.036017
0.524980 447.430671
0.526261 753.032751
0.526838 474.475056
0.526860 599.601045
0.526915 578.994027
0.529883 787.868241
0.530099 710.495261
0.532039 353.512238
0.532840 371.387445
0.533920 652.732957
0.534062 550.833502
0.536061 490.947292
0.536810 725.442598
0.539143 596.458659
0.539914 575.834604
0.541675 693.643107
0.542506 510.566915
0.544225 822.403081
0.545002 447.354218
0.545484 678.465287
0.545486 802.456726
0.546012 354.336859
0.546404 519.815881
0.547867 758.756843
0.552501 766.697179
0.553514 554.991810
0.555309 466.622023
0.557016 739.777370
0.557088 776.399552
0.557424 399.795128
0.557801 393.872652
0.558605 624.270201
0.559090 689.745562
0.560096 541.649239
0.560336 699.210538
0.561298 476.822320
0.561996 251.541240
0.562613 524.271801
0.562846 602.939486
0.563428 548.984638
0.563697 407.108431
0.564894 302.441734
0.567888 515.358321
0.568246 743.602963
0.568997 802.376125
0.569982 792.496257
0.571143 470.032841
0.571257 415.549895
0.571504 682.595788
0.571967 705.513887
0.572248 667.845108
0.572326 277.490316
0.573126 463.846979
0.573878 600.123137
0.574751 684.778808
0.575505 731.006507
0.576315 630.991599
0.576960 661.944569
0.577746 622.956668
0.578061 720.732061
0.578843 661.163138
0.579579 621.887712
0.581144 569.359331
0.581307 626.328858
0.582515 693.213206
